weight_baseline_sched_cv,weight_baseline_seed7_cv,weight_lower_batch_cv,accuracy
0.0,0.0,1.0,0.8096169331646152
0.0,0.01,0.99,0.8097319682503163
0.0,0.02,0.98,0.809501898078914
0.0,0.03,0.97,0.8101921085931209
0.0,0.04,0.96,0.8106522489359255
0.0,0.05,0.95,0.8109973541930289
0.0,0.06,0.94,0.8112274243644312
0.0,0.07,0.93,0.8114574945358334
0.0,0.08,0.92,0.8124928103071437
0.0,0.09,0.91,0.8120326699643391
0.0,0.1,0.9,0.8120326699643391
0.0,0.11,0.89,0.811917634878638
0.0,0.12,0.88,0.811917634878638
0.0,0.13,0.87,0.811917634878638
0.0,0.14,0.86,0.811917634878638
0.0,0.15,0.85,0.8120326699643391
0.0,0.16,0.84,0.8115725296215346
0.0,0.17,0.83,0.8116875647072357
0.0,0.18,0.82,0.8115725296215346
0.0,0.19,0.81,0.8118025997929369
0.0,0.2,0.8,0.811917634878638
0.0,0.21,0.79,0.8120326699643391
0.0,0.22,0.78,0.8118025997929369
0.0,0.23,0.77,0.8121477050500403
0.0,0.24,0.76,0.8121477050500403
0.0,0.25,0.75,0.8121477050500403
0.0,0.26,0.74,0.8124928103071437
0.0,0.27,0.73,0.8128379155642471
0.0,0.28,0.72,0.8127228804785459
0.0,0.29,0.71,0.8120326699643391
0.0,0.3,0.7,0.8123777752214425
0.0,0.31,0.69,0.8122627401357414
0.0,0.32,0.68,0.8123777752214425
0.0,0.33,0.67,0.8127228804785459
0.0,0.34,0.66,0.8124928103071437
0.0,0.35,0.65,0.8122627401357414
0.0,0.36,0.64,0.8123777752214425
0.0,0.37,0.63,0.8121477050500403
0.0,0.38,0.62,0.8129529506499482
0.0,0.39,0.61,0.8132980559070516
0.0,0.4,0.6,0.8134130909927528
0.0,0.41,0.59,0.8129529506499482
0.0,0.42,0.58,0.8124928103071437
0.0,0.43,0.57,0.8123777752214425
0.0,0.44,0.56,0.8124928103071437
0.0,0.45,0.55,0.8124928103071437
0.0,0.46,0.54,0.8128379155642471
0.0,0.47,0.53,0.8126078453928448
0.0,0.48,0.52,0.8126078453928448
0.0,0.49,0.51,0.8118025997929369
0.0,0.5,0.5,0.8115725296215346
0.0,0.51,0.49,0.81111238927873
0.0,0.52,0.48,0.8124928103071437
0.0,0.53,0.47,0.8129529506499482
0.0,0.54,0.46,0.8127228804785459
0.0,0.55,0.45,0.8124928103071437
0.0,0.56,0.44,0.8126078453928448
0.0,0.57,0.43,0.8124928103071437
0.0,0.58,0.42,0.8127228804785459
0.0,0.59,0.41,0.8128379155642471
0.0,0.6,0.4,0.8126078453928448
0.0,0.61,0.39,0.8120326699643391
0.0,0.62,0.38,0.8113424594501323
0.0,0.63,0.37,0.8116875647072357
0.0,0.64,0.36,0.8116875647072357
0.0,0.65,0.35,0.8118025997929369
0.0,0.66,0.34,0.8120326699643391
0.0,0.67,0.33,0.8107672840216266
0.0,0.68,0.32,0.8105372138502244
0.0,0.69,0.31,0.8106522489359255
0.0,0.7,0.3,0.8101921085931209
0.0,0.71,0.29,0.809501898078914
0.0,0.72,0.28,0.8093868629932129
0.0,0.73,0.27,0.8098470033360174
0.0,0.74,0.26,0.8103071436788221
0.0,0.75,0.25,0.8100770735074198
0.0,0.76,0.24,0.8104221787645232
0.0,0.77,0.23,0.8104221787645232
0.0,0.78,0.22,0.8104221787645232
0.0,0.79,0.21,0.8104221787645232
0.0,0.8,0.2,0.8103071436788221
0.0,0.81,0.19,0.8098470033360174
0.0,0.82,0.18,0.8092718279075118
0.0,0.83,0.17,0.8091567928218106
0.0,0.84,0.16,0.8088116875647072
0.0,0.85,0.15,0.8089267226504083
0.0,0.86,0.14,0.8089267226504083
0.0,0.87,0.13,0.8088116875647072
0.0,0.88,0.12,0.8089267226504083
0.0,0.89,0.11,0.8084665823076038
0.0,0.9,0.1,0.8078914068790981
0.0,0.91,0.09,0.8080064419647993
